using device: cuda
CIFAR100 dataset loaded successfully.
the size of train set is (5000, 32, 32, 3)
the size of train label is (5000,)
the size of test set is (1000, 32, 32, 3)
the size of test label is (1000,)
epoch:1,step:21,loss:0.293
epoch:1,step:22,loss:0.307
epoch:1,step:23,loss:0.302
epoch:1,step:24,loss:0.304
epoch:1,step:25,loss:0.298
epoch:1,step:26,loss:0.298
epoch:1,step:27,loss:0.291
epoch:1,step:28,loss:0.280
epoch:1,step:29,loss:0.291
epoch:1,step:30,loss:0.291
epoch:1,step:31,loss:0.315
epoch:1,step:32,loss:0.297
epoch:1,step:33,loss:0.292
epoch:1,step:34,loss:0.281
epoch:1,step:35,loss:0.298
epoch:1,step:36,loss:0.286
epoch:1,step:37,loss:0.300
epoch:1,step:38,loss:0.286
epoch:1,step:39,loss:0.296
epoch:1,accuracy:19.100
epoch:2,step:0,loss:0.403
epoch:2,step:1,loss:0.311
epoch:2,step:2,loss:0.301
epoch:2,step:3,loss:0.301
epoch:2,step:4,loss:0.284
epoch:2,step:5,loss:0.282
epoch:2,step:6,loss:0.289
epoch:2,step:7,loss:0.290
epoch:2,step:8,loss:0.288
epoch:2,step:9,loss:0.275
epoch:2,step:10,loss:0.298
epoch:2,step:11,loss:0.278
epoch:2,step:12,loss:0.289
epoch:2,step:13,loss:0.282
epoch:2,step:14,loss:0.287
epoch:2,step:15,loss:0.278
epoch:2,step:16,loss:0.296
epoch:2,step:17,loss:0.279
epoch:2,step:18,loss:0.273
epoch:2,step:19,loss:0.276
epoch:2,step:20,loss:0.295
epoch:2,step:21,loss:0.295
epoch:2,step:22,loss:0.298
epoch:2,step:23,loss:0.287
epoch:2,step:24,loss:0.284
epoch:2,step:25,loss:0.274
epoch:2,step:26,loss:0.272
epoch:2,step:27,loss:0.286
epoch:2,step:28,loss:0.303
epoch:2,step:29,loss:0.309
epoch:2,step:30,loss:0.283
epoch:2,step:31,loss:0.280
epoch:2,step:32,loss:0.281
epoch:2,step:33,loss:0.276
epoch:2,step:34,loss:0.271
epoch:2,step:35,loss:0.288
epoch:2,step:36,loss:0.275
epoch:2,step:37,loss:0.279
epoch:2,step:38,loss:0.283
epoch:2,step:39,loss:0.316
epoch:2,accuracy:16.200
epoch:3,step:0,loss:0.458
epoch:3,step:1,loss:0.297
epoch:3,step:2,loss:0.284
epoch:3,step:3,loss:0.291
epoch:3,step:4,loss:0.289
epoch:3,step:5,loss:0.290
epoch:3,step:6,loss:0.267
epoch:3,step:7,loss:0.285
epoch:3,step:8,loss:0.278
epoch:3,step:9,loss:0.285
epoch:3,step:10,loss:0.284
epoch:3,step:11,loss:0.284
epoch:3,step:12,loss:0.268
epoch:3,step:13,loss:0.278
