using device: cuda
CIFAR100 dataset loaded successfully.
the size of train set is (5000, 32, 32, 3)
the size of train label is (5000,)
the size of test set is (1000, 32, 32, 3)
the size of test label is (1000,)
epoch:6,step:19,loss:0.256
epoch:6,step:20,loss:0.243
epoch:6,step:21,loss:0.249
epoch:6,step:22,loss:0.250
epoch:6,step:23,loss:0.269
epoch:6,step:24,loss:0.238
epoch:6,step:25,loss:0.232
epoch:6,step:26,loss:0.241
epoch:6,step:27,loss:0.237
epoch:6,step:28,loss:0.237
epoch:6,step:29,loss:0.235
epoch:6,step:30,loss:0.246
epoch:6,step:31,loss:0.220
epoch:6,step:32,loss:0.220
epoch:6,step:33,loss:0.237
epoch:6,step:34,loss:0.261
epoch:6,step:35,loss:0.247
epoch:6,step:36,loss:0.244
epoch:6,step:37,loss:0.241
epoch:6,step:38,loss:0.212
epoch:6,step:39,loss:0.216
epoch:6,accuracy:32.500
epoch:7,step:0,loss:0.353
epoch:7,step:1,loss:0.248
epoch:7,step:2,loss:0.231
epoch:7,step:3,loss:0.213
epoch:7,step:4,loss:0.238
epoch:7,step:5,loss:0.223
epoch:7,step:6,loss:0.232
epoch:7,step:7,loss:0.230
epoch:7,step:8,loss:0.221
epoch:7,step:9,loss:0.199
epoch:7,step:10,loss:0.224
epoch:7,step:11,loss:0.249
epoch:7,step:12,loss:0.253
epoch:7,step:13,loss:0.238
epoch:7,step:14,loss:0.245
epoch:7,step:15,loss:0.243
epoch:7,step:16,loss:0.229
epoch:7,step:17,loss:0.243
epoch:7,step:18,loss:0.226
epoch:7,step:19,loss:0.227
epoch:7,step:20,loss:0.231
epoch:7,step:21,loss:0.230
epoch:7,step:22,loss:0.241
epoch:7,step:23,loss:0.232
epoch:7,step:24,loss:0.234
epoch:7,step:25,loss:0.221
epoch:7,step:26,loss:0.219
epoch:7,step:27,loss:0.233
epoch:7,step:28,loss:0.239
epoch:7,step:29,loss:0.233
epoch:7,step:30,loss:0.211
epoch:7,step:31,loss:0.207
epoch:7,step:32,loss:0.239
epoch:7,step:33,loss:0.227
epoch:7,step:34,loss:0.240
epoch:7,step:35,loss:0.242
epoch:7,step:36,loss:0.229
epoch:7,step:37,loss:0.198
epoch:7,step:38,loss:0.241
epoch:7,step:39,loss:0.229
epoch:7,accuracy:27.500
epoch:8,step:0,loss:0.410
epoch:8,step:1,loss:0.237
epoch:8,step:2,loss:0.243
epoch:8,step:3,loss:0.223
epoch:8,step:4,loss:0.245
epoch:8,step:5,loss:0.240
epoch:8,step:6,loss:0.225
epoch:8,step:7,loss:0.229
epoch:8,step:8,loss:0.237
epoch:8,step:9,loss:0.212
epoch:8,step:10,loss:0.232
epoch:8,step:11,loss:0.239
epoch:8,step:12,loss:0.208
epoch:8,step:13,loss:0.234
epoch:8,step:14,loss:0.224
epoch:8,step:15,loss:0.221
epoch:8,step:16,loss:0.216
epoch:8,step:17,loss:0.209
epoch:8,step:18,loss:0.217
epoch:8,step:19,loss:0.235
epoch:8,step:20,loss:0.225
epoch:8,step:21,loss:0.238
epoch:8,step:22,loss:0.211
epoch:8,step:23,loss:0.246
epoch:8,step:24,loss:0.233
epoch:8,step:25,loss:0.239
epoch:8,step:26,loss:0.212
epoch:8,step:27,loss:0.228
epoch:8,step:28,loss:0.203
epoch:8,step:29,loss:0.227
epoch:8,step:30,loss:0.247
epoch:8,step:31,loss:0.216
epoch:8,step:32,loss:0.201
epoch:8,step:33,loss:0.207
epoch:8,step:34,loss:0.202
epoch:8,step:35,loss:0.201
epoch:8,step:36,loss:0.234
epoch:8,step:37,loss:0.223
epoch:8,step:38,loss:0.223
epoch:8,step:39,loss:0.283
epoch:8,accuracy:17.300
epoch:9,step:0,loss:0.479
epoch:9,step:1,loss:0.300
epoch:9,step:2,loss:0.253
epoch:9,step:3,loss:0.242
epoch:9,step:4,loss:0.234
epoch:9,step:5,loss:0.216
epoch:9,step:6,loss:0.250
epoch:9,step:7,loss:0.229
epoch:9,step:8,loss:0.222
epoch:9,step:9,loss:0.220
epoch:9,step:10,loss:0.218
epoch:9,step:11,loss:0.204
epoch:9,step:12,loss:0.240
epoch:9,step:13,loss:0.220
epoch:9,step:14,loss:0.236
epoch:9,step:15,loss:0.237
epoch:9,step:16,loss:0.209
epoch:9,step:17,loss:0.199
epoch:9,step:18,loss:0.219
epoch:9,step:19,loss:0.194
epoch:9,step:20,loss:0.220
epoch:9,step:21,loss:0.202
epoch:9,step:22,loss:0.208
epoch:9,step:23,loss:0.220
epoch:9,step:24,loss:0.198
epoch:9,step:25,loss:0.210
epoch:9,step:26,loss:0.232
epoch:9,step:27,loss:0.200
epoch:9,step:28,loss:0.229
epoch:9,step:29,loss:0.188
epoch:9,step:30,loss:0.215
epoch:9,step:31,loss:0.196
epoch:9,step:32,loss:0.213
epoch:9,step:33,loss:0.214
epoch:9,step:34,loss:0.216
epoch:9,step:35,loss:0.215
epoch:9,step:36,loss:0.213
epoch:9,step:37,loss:0.205
epoch:9,step:38,loss:0.223
epoch:9,step:39,loss:0.252
epoch:9,accuracy:23.600
epoch:10,step:0,loss:0.414
epoch:10,step:1,loss:0.274
epoch:10,step:2,loss:0.226
epoch:10,step:3,loss:0.245
epoch:10,step:4,loss:0.235
epoch:10,step:5,loss:0.227
epoch:10,step:6,loss:0.197
epoch:10,step:7,loss:0.222
epoch:10,step:8,loss:0.207
epoch:10,step:9,loss:0.224
epoch:10,step:10,loss:0.230
epoch:10,step:11,loss:0.219
epoch:10,step:12,loss:0.232
epoch:10,step:13,loss:0.215
epoch:10,step:14,loss:0.214
epoch:10,step:15,loss:0.214
epoch:10,step:16,loss:0.215
epoch:10,step:17,loss:0.219
epoch:10,step:18,loss:0.193
epoch:10,step:19,loss:0.238
epoch:10,step:20,loss:0.209
epoch:10,step:21,loss:0.200
epoch:10,step:22,loss:0.229
epoch:10,step:23,loss:0.221
epoch:10,step:24,loss:0.216
epoch:10,step:25,loss:0.225
epoch:10,step:26,loss:0.205
epoch:10,step:27,loss:0.201
epoch:10,step:28,loss:0.229
epoch:10,step:29,loss:0.242
epoch:10,step:30,loss:0.221
epoch:10,step:31,loss:0.186
epoch:10,step:32,loss:0.188
epoch:10,step:33,loss:0.201
epoch:10,step:34,loss:0.222
epoch:10,step:35,loss:0.199
epoch:10,step:36,loss:0.182
epoch:10,step:37,loss:0.204
epoch:10,step:38,loss:0.202
epoch:10,step:39,loss:0.254
epoch:10,accuracy:23.200
epoch:11,step:0,loss:0.407
epoch:11,step:1,loss:0.268
epoch:11,step:2,loss:0.242
epoch:11,step:3,loss:0.215
epoch:11,step:4,loss:0.227
epoch:11,step:5,loss:0.213
epoch:11,step:6,loss:0.213
epoch:11,step:7,loss:0.200
epoch:11,step:8,loss:0.201
epoch:11,step:9,loss:0.206
epoch:11,step:10,loss:0.205
epoch:11,step:11,loss:0.201
epoch:11,step:12,loss:0.189
epoch:11,step:13,loss:0.205
epoch:11,step:14,loss:0.219
epoch:11,step:15,loss:0.215
epoch:11,step:16,loss:0.198
epoch:11,step:17,loss:0.212
epoch:11,step:18,loss:0.195
epoch:11,step:19,loss:0.209
epoch:11,step:20,loss:0.188
epoch:11,step:21,loss:0.218
epoch:11,step:22,loss:0.200
epoch:11,step:23,loss:0.185
epoch:11,step:24,loss:0.199
epoch:11,step:25,loss:0.195
epoch:11,step:26,loss:0.194
epoch:11,step:27,loss:0.185
epoch:11,step:28,loss:0.205
epoch:11,step:29,loss:0.189
epoch:11,step:30,loss:0.213
epoch:11,step:31,loss:0.194
epoch:11,step:32,loss:0.189
epoch:11,step:33,loss:0.204
epoch:11,step:34,loss:0.210
epoch:11,step:35,loss:0.182
epoch:11,step:36,loss:0.193
epoch:11,step:37,loss:0.193
epoch:11,step:38,loss:0.213
epoch:11,step:39,loss:0.221
epoch:11,accuracy:17.000
epoch:12,step:0,loss:0.503
epoch:12,step:1,loss:0.281
epoch:12,step:2,loss:0.274
epoch:12,step:3,loss:0.252
epoch:12,step:4,loss:0.245
epoch:12,step:5,loss:0.228
epoch:12,step:6,loss:0.246
epoch:12,step:7,loss:0.235
epoch:12,step:8,loss:0.220
epoch:12,step:9,loss:0.224
epoch:12,step:10,loss:0.223
epoch:12,step:11,loss:0.199
epoch:12,step:12,loss:0.211
epoch:12,step:13,loss:0.195
epoch:12,step:14,loss:0.193
epoch:12,step:15,loss:0.194
epoch:12,step:16,loss:0.193
epoch:12,step:17,loss:0.198
epoch:12,step:18,loss:0.217
epoch:12,step:19,loss:0.212
epoch:12,step:20,loss:0.190
epoch:12,step:21,loss:0.188
epoch:12,step:22,loss:0.196
epoch:12,step:23,loss:0.203
epoch:12,step:24,loss:0.213
epoch:12,step:25,loss:0.212
epoch:12,step:26,loss:0.191
epoch:12,step:27,loss:0.194
epoch:12,step:28,loss:0.192
epoch:12,step:29,loss:0.198
epoch:12,step:30,loss:0.184
epoch:12,step:31,loss:0.192
epoch:12,step:32,loss:0.181
epoch:12,step:33,loss:0.194
epoch:12,step:34,loss:0.210
epoch:12,step:35,loss:0.183
epoch:12,step:36,loss:0.198
epoch:12,step:37,loss:0.169
epoch:12,step:38,loss:0.192
epoch:12,step:39,loss:0.209
epoch:12,accuracy:14.600
epoch:13,step:0,loss:0.588
epoch:13,step:1,loss:0.264
epoch:13,step:2,loss:0.254
epoch:13,step:3,loss:0.236
epoch:13,step:4,loss:0.238
epoch:13,step:5,loss:0.201
epoch:13,step:6,loss:0.208
epoch:13,step:7,loss:0.211
epoch:13,step:8,loss:0.204
epoch:13,step:9,loss:0.203
epoch:13,step:10,loss:0.214
epoch:13,step:11,loss:0.205
epoch:13,step:12,loss:0.210
epoch:13,step:13,loss:0.198
epoch:13,step:14,loss:0.162
epoch:13,step:15,loss:0.202
epoch:13,step:16,loss:0.210
epoch:13,step:17,loss:0.199
epoch:13,step:18,loss:0.171
epoch:13,step:19,loss:0.203
epoch:13,step:20,loss:0.198
epoch:13,step:21,loss:0.188
epoch:13,step:22,loss:0.179
epoch:13,step:23,loss:0.191
epoch:13,step:24,loss:0.189
epoch:13,step:25,loss:0.189
epoch:13,step:26,loss:0.200
epoch:13,step:27,loss:0.219
epoch:13,step:28,loss:0.186
epoch:13,step:29,loss:0.182
epoch:13,step:30,loss:0.214
epoch:13,step:31,loss:0.195
epoch:13,step:32,loss:0.186
epoch:13,step:33,loss:0.203
epoch:13,step:34,loss:0.185
epoch:13,step:35,loss:0.212
epoch:13,step:36,loss:0.186
epoch:13,step:37,loss:0.204
epoch:13,step:38,loss:0.164
epoch:13,step:39,loss:0.092
epoch:13,accuracy:35.700
epoch:14,step:0,loss:0.340
epoch:14,step:1,loss:0.199
epoch:14,step:2,loss:0.190
epoch:14,step:3,loss:0.180
epoch:14,step:4,loss:0.207
epoch:14,step:5,loss:0.171
epoch:14,step:6,loss:0.163
