using device: cuda
CIFAR100 dataset loaded successfully.
the size of train set is (2500, 32, 32, 3)
the size of train label is (2500,)
the size of test set is (500, 32, 32, 3)
the size of test label is (500,)
epoch:8,step:16,loss:0.270
epoch:8,step:17,loss:0.300
epoch:8,step:18,loss:0.279
epoch:8,step:19,loss:0.392
epoch:8,accuracy:47.000
epoch:9,step:0,loss:0.422
epoch:9,step:1,loss:0.325
epoch:9,step:2,loss:0.338
epoch:9,step:3,loss:0.315
epoch:9,step:4,loss:0.304
epoch:9,step:5,loss:0.294
epoch:9,step:6,loss:0.294
epoch:9,step:7,loss:0.295
epoch:9,step:8,loss:0.266
epoch:9,step:9,loss:0.318
epoch:9,step:10,loss:0.267
epoch:9,step:11,loss:0.294
epoch:9,step:12,loss:0.296
epoch:9,step:13,loss:0.319
epoch:9,step:14,loss:0.290
epoch:9,step:15,loss:0.308
epoch:9,step:16,loss:0.328
epoch:9,step:17,loss:0.278
epoch:9,step:18,loss:0.293
epoch:9,step:19,loss:0.272
epoch:9,accuracy:60.800
epoch:10,step:0,loss:0.373
epoch:10,step:1,loss:0.257
epoch:10,step:2,loss:0.213
epoch:10,step:3,loss:0.347
epoch:10,step:4,loss:0.346
epoch:10,step:5,loss:0.273
epoch:10,step:6,loss:0.300
epoch:10,step:7,loss:0.313
epoch:10,step:8,loss:0.320
epoch:10,step:9,loss:0.266
epoch:10,step:10,loss:0.276
epoch:10,step:11,loss:0.291
epoch:10,step:12,loss:0.289
epoch:10,step:13,loss:0.311
epoch:10,step:14,loss:0.300
epoch:10,step:15,loss:0.259
epoch:10,step:16,loss:0.266
epoch:10,step:17,loss:0.273
epoch:10,step:18,loss:0.372
epoch:10,step:19,loss:0.380
epoch:10,accuracy:64.000
epoch:11,step:0,loss:0.330
epoch:11,step:1,loss:0.293
epoch:11,step:2,loss:0.271
epoch:11,step:3,loss:0.303
epoch:11,step:4,loss:0.263
epoch:11,step:5,loss:0.313
epoch:11,step:6,loss:0.330
epoch:11,step:7,loss:0.329
epoch:11,step:8,loss:0.262
epoch:11,step:9,loss:0.286
epoch:11,step:10,loss:0.302
epoch:11,step:11,loss:0.282
epoch:11,step:12,loss:0.267
epoch:11,step:13,loss:0.263
epoch:11,step:14,loss:0.278
epoch:11,step:15,loss:0.249
epoch:11,step:16,loss:0.259
epoch:11,step:17,loss:0.314
epoch:11,step:18,loss:0.276
epoch:11,step:19,loss:0.250
epoch:11,accuracy:70.400
epoch:12,step:0,loss:0.292
epoch:12,step:1,loss:0.285
epoch:12,step:2,loss:0.297
epoch:12,step:3,loss:0.249
epoch:12,step:4,loss:0.297
epoch:12,step:5,loss:0.294
epoch:12,step:6,loss:0.259
epoch:12,step:7,loss:0.265
epoch:12,step:8,loss:0.271
epoch:12,step:9,loss:0.271
epoch:12,step:10,loss:0.330
epoch:12,step:11,loss:0.268
epoch:12,step:12,loss:0.272
epoch:12,step:13,loss:0.303
epoch:12,step:14,loss:0.288
epoch:12,step:15,loss:0.285
epoch:12,step:16,loss:0.245
epoch:12,step:17,loss:0.291
epoch:12,step:18,loss:0.250
epoch:12,step:19,loss:0.237
epoch:12,accuracy:66.200
epoch:13,step:0,loss:0.402
epoch:13,step:1,loss:0.335
epoch:13,step:2,loss:0.259
epoch:13,step:3,loss:0.298
epoch:13,step:4,loss:0.313
epoch:13,step:5,loss:0.266
epoch:13,step:6,loss:0.297
epoch:13,step:7,loss:0.307
epoch:13,step:8,loss:0.303
epoch:13,step:9,loss:0.244
epoch:13,step:10,loss:0.275
epoch:13,step:11,loss:0.303
epoch:13,step:12,loss:0.303
epoch:13,step:13,loss:0.263
epoch:13,step:14,loss:0.240
epoch:13,step:15,loss:0.250
epoch:13,step:16,loss:0.255
epoch:13,step:17,loss:0.238
epoch:13,step:18,loss:0.259
epoch:13,step:19,loss:0.303
epoch:13,accuracy:68.800
epoch:14,step:0,loss:0.217
epoch:14,step:1,loss:0.246
epoch:14,step:2,loss:0.359
epoch:14,step:3,loss:0.354
epoch:14,step:4,loss:0.326
epoch:14,step:5,loss:0.252
epoch:14,step:6,loss:0.341
epoch:14,step:7,loss:0.306
epoch:14,step:8,loss:0.260
epoch:14,step:9,loss:0.308
epoch:14,step:10,loss:0.285
epoch:14,step:11,loss:0.278
epoch:14,step:12,loss:0.236
