using device: cuda
CIFAR10 dataset loaded successfully.
the size of train set is (5000, 32, 32, 3)
the size of train label is (5000,)
the size of test set is (1000, 32, 32, 3)
the size of test label is (1000,)
epoch:4,step:19,loss:0.000
epoch:4,step:20,loss:0.000
epoch:4,step:21,loss:0.000
epoch:4,step:22,loss:0.000
epoch:4,step:23,loss:0.000
epoch:4,step:24,loss:0.000
epoch:4,step:25,loss:0.000
epoch:4,step:26,loss:0.000
epoch:4,step:27,loss:0.000
epoch:4,step:28,loss:0.000
epoch:4,step:29,loss:0.000
epoch:4,step:30,loss:0.000
epoch:4,step:31,loss:0.000
epoch:4,step:32,loss:0.000
epoch:4,step:33,loss:0.000
epoch:4,step:34,loss:0.000
epoch:4,step:35,loss:0.000
epoch:4,step:36,loss:0.000
epoch:4,step:37,loss:0.000
epoch:4,step:38,loss:0.000
epoch:4,step:39,loss:0.000
epoch:4,accuracy:100.000
epoch:5,step:0,loss:0.000
epoch:5,step:1,loss:0.000
epoch:5,step:2,loss:0.000
epoch:5,step:3,loss:0.000
epoch:5,step:4,loss:0.000
epoch:5,step:5,loss:0.000
epoch:5,step:6,loss:0.000
epoch:5,step:7,loss:0.000
epoch:5,step:8,loss:0.000
epoch:5,step:9,loss:0.000
epoch:5,step:10,loss:0.000
epoch:5,step:11,loss:0.000
epoch:5,step:12,loss:0.000
epoch:5,step:13,loss:0.000
epoch:5,step:14,loss:0.000
epoch:5,step:15,loss:0.000
epoch:5,step:16,loss:0.000
epoch:5,step:17,loss:0.000
epoch:5,step:18,loss:0.000
epoch:5,step:19,loss:0.000
epoch:5,step:20,loss:0.000
epoch:5,step:21,loss:0.000
epoch:5,step:22,loss:0.000
epoch:5,step:23,loss:0.000
epoch:5,step:24,loss:0.000
epoch:5,step:25,loss:0.000
epoch:5,step:26,loss:0.000
epoch:5,step:27,loss:0.000
epoch:5,step:28,loss:0.000
epoch:5,step:29,loss:0.000
epoch:5,step:30,loss:0.000
epoch:5,step:31,loss:0.000
epoch:5,step:32,loss:0.000
epoch:5,step:33,loss:0.000
epoch:5,step:34,loss:0.000
epoch:5,step:35,loss:0.000
epoch:5,step:36,loss:0.000
epoch:5,step:37,loss:0.000
epoch:5,step:38,loss:0.000
epoch:5,step:39,loss:0.000
epoch:5,accuracy:100.000
epoch:6,step:0,loss:0.000
epoch:6,step:1,loss:0.000
epoch:6,step:2,loss:0.000
epoch:6,step:3,loss:0.000
epoch:6,step:4,loss:0.000
epoch:6,step:5,loss:0.000
epoch:6,step:6,loss:0.000
epoch:6,step:7,loss:0.000
epoch:6,step:8,loss:0.000
epoch:6,step:9,loss:0.000
epoch:6,step:10,loss:0.000
epoch:6,step:11,loss:0.000
epoch:6,step:12,loss:0.000
epoch:6,step:13,loss:0.000
epoch:6,step:14,loss:0.000
epoch:6,step:15,loss:0.000
epoch:6,step:16,loss:0.000
epoch:6,step:17,loss:0.000
epoch:6,step:18,loss:0.000
epoch:6,step:19,loss:0.000
epoch:6,step:20,loss:0.000
epoch:6,step:21,loss:0.000
epoch:6,step:22,loss:0.000
epoch:6,step:23,loss:0.000
epoch:6,step:24,loss:0.000
epoch:6,step:25,loss:0.000
epoch:6,step:26,loss:0.000
epoch:6,step:27,loss:0.000
epoch:6,step:28,loss:0.000
epoch:6,step:29,loss:0.000
epoch:6,step:30,loss:0.000
epoch:6,step:31,loss:0.000
epoch:6,step:32,loss:0.000
epoch:6,step:33,loss:0.000
epoch:6,step:34,loss:0.000
epoch:6,step:35,loss:0.000
epoch:6,step:36,loss:0.000
epoch:6,step:37,loss:0.000
epoch:6,step:38,loss:0.000
epoch:6,step:39,loss:0.000
epoch:6,accuracy:100.000
epoch:7,step:0,loss:0.000
epoch:7,step:1,loss:0.000
epoch:7,step:2,loss:0.000
epoch:7,step:3,loss:0.000
epoch:7,step:4,loss:0.000
epoch:7,step:5,loss:0.000
epoch:7,step:6,loss:0.000
epoch:7,step:7,loss:0.000
epoch:7,step:8,loss:0.000
epoch:7,step:9,loss:0.000
epoch:7,step:10,loss:0.000
epoch:7,step:11,loss:0.000
epoch:7,step:12,loss:0.000
epoch:7,step:13,loss:0.000
epoch:7,step:14,loss:0.000
epoch:7,step:15,loss:0.000
epoch:7,step:16,loss:0.000
epoch:7,step:17,loss:0.000
epoch:7,step:18,loss:0.000
epoch:7,step:19,loss:0.000
epoch:7,step:20,loss:0.000
epoch:7,step:21,loss:0.000
epoch:7,step:22,loss:0.000
epoch:7,step:23,loss:0.000
epoch:7,step:24,loss:0.000
epoch:7,step:25,loss:0.000
epoch:7,step:26,loss:0.000
epoch:7,step:27,loss:0.000
epoch:7,step:28,loss:0.000
epoch:7,step:29,loss:0.000
epoch:7,step:30,loss:0.000
epoch:7,step:31,loss:0.000
epoch:7,step:32,loss:0.000
epoch:7,step:33,loss:0.000
epoch:7,step:34,loss:0.000
epoch:7,step:35,loss:0.000
epoch:7,step:36,loss:0.000
epoch:7,step:37,loss:0.000
epoch:7,step:38,loss:0.000
epoch:7,step:39,loss:0.000
epoch:7,accuracy:100.000
epoch:8,step:0,loss:0.000
epoch:8,step:1,loss:0.000
epoch:8,step:2,loss:0.000
epoch:8,step:3,loss:0.000
epoch:8,step:4,loss:0.000
epoch:8,step:5,loss:0.000
epoch:8,step:6,loss:0.000
epoch:8,step:7,loss:0.000
epoch:8,step:8,loss:0.000
epoch:8,step:9,loss:0.000
epoch:8,step:10,loss:0.000
epoch:8,step:11,loss:0.000
epoch:8,step:12,loss:0.000
epoch:8,step:13,loss:0.000
epoch:8,step:14,loss:0.000
epoch:8,step:15,loss:0.000
epoch:8,step:16,loss:0.000
epoch:8,step:17,loss:0.000
epoch:8,step:18,loss:0.000
epoch:8,step:19,loss:0.000
epoch:8,step:20,loss:0.000
epoch:8,step:21,loss:0.000
epoch:8,step:22,loss:0.000
epoch:8,step:23,loss:0.000
epoch:8,step:24,loss:0.000
epoch:8,step:25,loss:0.000
epoch:8,step:26,loss:0.000
epoch:8,step:27,loss:0.000
epoch:8,step:28,loss:0.000
epoch:8,step:29,loss:0.000
epoch:8,step:30,loss:0.000
epoch:8,step:31,loss:0.000
epoch:8,step:32,loss:0.000
epoch:8,step:33,loss:0.000
epoch:8,step:34,loss:0.000
epoch:8,step:35,loss:0.000
epoch:8,step:36,loss:0.000
epoch:8,step:37,loss:0.000
epoch:8,step:38,loss:0.000
epoch:8,step:39,loss:0.000
epoch:8,accuracy:100.000
epoch:9,step:0,loss:0.000
epoch:9,step:1,loss:0.000
epoch:9,step:2,loss:0.000
epoch:9,step:3,loss:0.000
epoch:9,step:4,loss:0.000
epoch:9,step:5,loss:0.000
epoch:9,step:6,loss:0.000
epoch:9,step:7,loss:0.000
epoch:9,step:8,loss:0.000
epoch:9,step:9,loss:0.000
epoch:9,step:10,loss:0.000
epoch:9,step:11,loss:0.000
epoch:9,step:12,loss:0.000
epoch:9,step:13,loss:0.000
epoch:9,step:14,loss:0.000
epoch:9,step:15,loss:0.000
epoch:9,step:16,loss:0.000
epoch:9,step:17,loss:0.000
epoch:9,step:18,loss:0.000
epoch:9,step:19,loss:0.000
epoch:9,step:20,loss:0.000
epoch:9,step:21,loss:0.000
epoch:9,step:22,loss:0.000
epoch:9,step:23,loss:0.000
epoch:9,step:24,loss:0.000
epoch:9,step:25,loss:0.000
epoch:9,step:26,loss:0.000
epoch:9,step:27,loss:0.000
epoch:9,step:28,loss:0.000
epoch:9,step:29,loss:0.000
epoch:9,step:30,loss:0.000
epoch:9,step:31,loss:0.000
epoch:9,step:32,loss:0.000
epoch:9,step:33,loss:0.000
epoch:9,step:34,loss:0.000
epoch:9,step:35,loss:0.000
epoch:9,step:36,loss:0.000
epoch:9,step:37,loss:0.000
