using device: cuda
CIFAR100 dataset loaded successfully.
the size of train set is (10000, 32, 32, 3)
the size of train label is (10000,)
the size of test set is (2000, 32, 32, 3)
the size of test label is (2000,)
epoch:2,step:23,loss:0.164
epoch:2,step:24,loss:0.168
epoch:2,step:25,loss:0.162
epoch:2,step:26,loss:0.173
epoch:2,step:27,loss:0.170
epoch:2,step:28,loss:0.164
epoch:2,step:29,loss:0.175
epoch:2,step:30,loss:0.171
epoch:2,step:31,loss:0.166
epoch:2,step:32,loss:0.163
epoch:2,step:33,loss:0.171
epoch:2,step:34,loss:0.185
epoch:2,step:35,loss:0.174
epoch:2,step:36,loss:0.170
epoch:2,step:37,loss:0.174
epoch:2,step:38,loss:0.173
epoch:2,step:39,loss:0.166
epoch:2,step:40,loss:0.168
epoch:2,step:41,loss:0.163
epoch:2,step:42,loss:0.168
epoch:2,step:43,loss:0.170
epoch:2,step:44,loss:0.171
epoch:2,step:45,loss:0.168
epoch:2,step:46,loss:0.163
epoch:2,step:47,loss:0.164
epoch:2,step:48,loss:0.167
epoch:2,step:49,loss:0.170
epoch:2,step:50,loss:0.169
epoch:2,step:51,loss:0.169
epoch:2,step:52,loss:0.169
epoch:2,step:53,loss:0.164
epoch:2,step:54,loss:0.168
epoch:2,step:55,loss:0.168
epoch:2,step:56,loss:0.163
epoch:2,step:57,loss:0.171
epoch:2,step:58,loss:0.164
epoch:2,step:59,loss:0.174
epoch:2,step:60,loss:0.163
epoch:2,step:61,loss:0.165
epoch:2,step:62,loss:0.164
epoch:2,step:63,loss:0.160
epoch:2,step:64,loss:0.171
epoch:2,step:65,loss:0.177
epoch:2,step:66,loss:0.167
epoch:2,step:67,loss:0.165
epoch:2,step:68,loss:0.169
epoch:2,step:69,loss:0.177
epoch:2,step:70,loss:0.167
epoch:2,step:71,loss:0.160
epoch:2,step:72,loss:0.172
epoch:2,step:73,loss:0.163
epoch:2,step:74,loss:0.163
epoch:2,step:75,loss:0.168
epoch:2,step:76,loss:0.165
epoch:2,step:77,loss:0.163
epoch:2,step:78,loss:0.193
epoch:2,accuracy:8.850
epoch:3,step:0,loss:0.208
epoch:3,step:1,loss:0.169
epoch:3,step:2,loss:0.167
epoch:3,step:3,loss:0.165
epoch:3,step:4,loss:0.172
epoch:3,step:5,loss:0.165
epoch:3,step:6,loss:0.165
epoch:3,step:7,loss:0.164
epoch:3,step:8,loss:0.164
epoch:3,step:9,loss:0.161
epoch:3,step:10,loss:0.172
epoch:3,step:11,loss:0.167
epoch:3,step:12,loss:0.160
epoch:3,step:13,loss:0.158
epoch:3,step:14,loss:0.158
epoch:3,step:15,loss:0.155
epoch:3,step:16,loss:0.161
epoch:3,step:17,loss:0.158
epoch:3,step:18,loss:0.154
epoch:3,step:19,loss:0.156
epoch:3,step:20,loss:0.172
epoch:3,step:21,loss:0.157
epoch:3,step:22,loss:0.157
epoch:3,step:23,loss:0.163
epoch:3,step:24,loss:0.155
epoch:3,step:25,loss:0.157
epoch:3,step:26,loss:0.168
epoch:3,step:27,loss:0.160
epoch:3,step:28,loss:0.155
epoch:3,step:29,loss:0.169
epoch:3,step:30,loss:0.172
epoch:3,step:31,loss:0.154
epoch:3,step:32,loss:0.163
epoch:3,step:33,loss:0.163
epoch:3,step:34,loss:0.164
epoch:3,step:35,loss:0.161
epoch:3,step:36,loss:0.161
epoch:3,step:37,loss:0.170
epoch:3,step:38,loss:0.165
epoch:3,step:39,loss:0.160
epoch:3,step:40,loss:0.154
epoch:3,step:41,loss:0.156
epoch:3,step:42,loss:0.155
epoch:3,step:43,loss:0.157
epoch:3,step:44,loss:0.155
epoch:3,step:45,loss:0.161
epoch:3,step:46,loss:0.162
epoch:3,step:47,loss:0.162
epoch:3,step:48,loss:0.157
epoch:3,step:49,loss:0.162
epoch:3,step:50,loss:0.171
epoch:3,step:51,loss:0.162
epoch:3,step:52,loss:0.158
epoch:3,step:53,loss:0.153
epoch:3,step:54,loss:0.166
epoch:3,step:55,loss:0.148
epoch:3,step:56,loss:0.164
epoch:3,step:57,loss:0.163
epoch:3,step:58,loss:0.154
epoch:3,step:59,loss:0.162
epoch:3,step:60,loss:0.174
epoch:3,step:61,loss:0.169
epoch:3,step:62,loss:0.152
epoch:3,step:63,loss:0.159
epoch:3,step:64,loss:0.163
epoch:3,step:65,loss:0.156
epoch:3,step:66,loss:0.149
epoch:3,step:67,loss:0.159
epoch:3,step:68,loss:0.162
epoch:3,step:69,loss:0.162
epoch:3,step:70,loss:0.149
epoch:3,step:71,loss:0.149
epoch:3,step:72,loss:0.158
epoch:3,step:73,loss:0.157
epoch:3,step:74,loss:0.159
epoch:3,step:75,loss:0.156
epoch:3,step:76,loss:0.153
epoch:3,step:77,loss:0.156
epoch:3,step:78,loss:0.160
epoch:3,accuracy:18.150
epoch:4,step:0,loss:0.208
epoch:4,step:1,loss:0.173
epoch:4,step:2,loss:0.150
epoch:4,step:3,loss:0.166
epoch:4,step:4,loss:0.160
epoch:4,step:5,loss:0.153
epoch:4,step:6,loss:0.154
epoch:4,step:7,loss:0.156
epoch:4,step:8,loss:0.154
epoch:4,step:9,loss:0.156
epoch:4,step:10,loss:0.158
epoch:4,step:11,loss:0.162
epoch:4,step:12,loss:0.154
epoch:4,step:13,loss:0.158
epoch:4,step:14,loss:0.156
epoch:4,step:15,loss:0.164
epoch:4,step:16,loss:0.160
epoch:4,step:17,loss:0.152
epoch:4,step:18,loss:0.151
epoch:4,step:19,loss:0.153
epoch:4,step:20,loss:0.150
epoch:4,step:21,loss:0.151
epoch:4,step:22,loss:0.150
epoch:4,step:23,loss:0.141
epoch:4,step:24,loss:0.153
epoch:4,step:25,loss:0.149
epoch:4,step:26,loss:0.152
epoch:4,step:27,loss:0.151
epoch:4,step:28,loss:0.160
epoch:4,step:29,loss:0.154
epoch:4,step:30,loss:0.154
epoch:4,step:31,loss:0.162
epoch:4,step:32,loss:0.136
epoch:4,step:33,loss:0.154
epoch:4,step:34,loss:0.153
epoch:4,step:35,loss:0.171
epoch:4,step:36,loss:0.154
epoch:4,step:37,loss:0.150
epoch:4,step:38,loss:0.152
epoch:4,step:39,loss:0.151
epoch:4,step:40,loss:0.161
epoch:4,step:41,loss:0.152
epoch:4,step:42,loss:0.152
epoch:4,step:43,loss:0.166
epoch:4,step:44,loss:0.156
epoch:4,step:45,loss:0.154
epoch:4,step:46,loss:0.154
epoch:4,step:47,loss:0.154
epoch:4,step:48,loss:0.163
epoch:4,step:49,loss:0.159
epoch:4,step:50,loss:0.159
epoch:4,step:51,loss:0.169
epoch:4,step:52,loss:0.156
epoch:4,step:53,loss:0.155
epoch:4,step:54,loss:0.150
epoch:4,step:55,loss:0.149
epoch:4,step:56,loss:0.148
epoch:4,step:57,loss:0.146
epoch:4,step:58,loss:0.151
epoch:4,step:59,loss:0.158
epoch:4,step:60,loss:0.146
epoch:4,step:61,loss:0.150
epoch:4,step:62,loss:0.146
epoch:4,step:63,loss:0.161
epoch:4,step:64,loss:0.147
epoch:4,step:65,loss:0.157
epoch:4,step:66,loss:0.155
epoch:4,step:67,loss:0.154
epoch:4,step:68,loss:0.147
epoch:4,step:69,loss:0.157
epoch:4,step:70,loss:0.165
epoch:4,step:71,loss:0.151
epoch:4,step:72,loss:0.152
epoch:4,step:73,loss:0.154
epoch:4,step:74,loss:0.152
epoch:4,step:75,loss:0.148
epoch:4,step:76,loss:0.141
epoch:4,step:77,loss:0.153
epoch:4,step:78,loss:0.159
epoch:4,accuracy:13.800
epoch:5,step:0,loss:0.198
epoch:5,step:1,loss:0.179
epoch:5,step:2,loss:0.159
epoch:5,step:3,loss:0.165
epoch:5,step:4,loss:0.156
epoch:5,step:5,loss:0.159
epoch:5,step:6,loss:0.141
epoch:5,step:7,loss:0.144
epoch:5,step:8,loss:0.152
epoch:5,step:9,loss:0.157
epoch:5,step:10,loss:0.155
epoch:5,step:11,loss:0.157
epoch:5,step:12,loss:0.156
epoch:5,step:13,loss:0.139
epoch:5,step:14,loss:0.145
epoch:5,step:15,loss:0.148
epoch:5,step:16,loss:0.157
epoch:5,step:17,loss:0.145
epoch:5,step:18,loss:0.151
epoch:5,step:19,loss:0.149
epoch:5,step:20,loss:0.151
epoch:5,step:21,loss:0.158
epoch:5,step:22,loss:0.144
epoch:5,step:23,loss:0.152
epoch:5,step:24,loss:0.144
epoch:5,step:25,loss:0.139
epoch:5,step:26,loss:0.135
epoch:5,step:27,loss:0.138
epoch:5,step:28,loss:0.147
epoch:5,step:29,loss:0.150
epoch:5,step:30,loss:0.148
epoch:5,step:31,loss:0.147
epoch:5,step:32,loss:0.154
epoch:5,step:33,loss:0.137
epoch:5,step:34,loss:0.151
epoch:5,step:35,loss:0.153
epoch:5,step:36,loss:0.158
epoch:5,step:37,loss:0.159
epoch:5,step:38,loss:0.153
epoch:5,step:39,loss:0.149
epoch:5,step:40,loss:0.145
epoch:5,step:41,loss:0.144
epoch:5,step:42,loss:0.143
epoch:5,step:43,loss:0.139
epoch:5,step:44,loss:0.145
epoch:5,step:45,loss:0.134
epoch:5,step:46,loss:0.151
